Helység.megnevezése;IRSZ
Bük;9740
Bük;9737
Bükkábrány;3422
Bükkaranyos;3554
Bükkmogyorósd;3648
Bükkösd;7682
Bükkszék;3335
Bükkszenterzsébet;3257
Bükkszentkereszt;3557
Bükkszentmárton;3346
Bükkzsérc;3414
Bürüs;7973
Büssü;7273
Büttös;3821
Cák;9725
Cakóháza;9165
Cece;7013
Cégénydányád;4732
Cegléd;2700
Cegléd;2738
Ceglédbercel;2737
Celldömölk;9541
Celldömölk;9500
Cered;3123
Chernelházadamonya;9624
Cibakháza;5462
Cigánd;3973
Cikó;7161
Cirák;9364
Cún;7843
Csabacsűd;5551
Csabaszabadi;5609
Csabdi;2064
Csabrendek;8474
Csáfordjánosfa;9375
Csaholc;4967
Csajág;8163
Csákány;8735
Csákánydoroszló;9919
Csákberény;8073
Csákvár;8083
Csanádalberti;6915
Csanádapáca;5662
Csanádpalota;6913
Csánig;9654
Csány;3015
Csányoszró;7964
Csanytelek;6647
Csapi;8756
Csapod;9372
Csárdaszállás;5621
Csarnóta;7811
Csaroda;4844
Császár;2858
Császártöltés;6239
Császló;4973
Csátalja;6523
Csatár;8943
Csataszög;5064
Csatka;2888
Csávoly;6448
Csebény;7935
Csécse;3052
Csegöld;4742
Csehbánya;8445
Csehi;9833
Csehimindszent;9834
Csém;2949
Csemő;2713
Csempeszkopács;9764
Csengele;6765
Csenger;4765
Csengersima;4743
Csengerújfalu;4764
Csengőd;6222
Csénye;9611
Csenyéte;3837
Csép;2946
Csépa;5475
Csepreg;9735
Csér;9375
Cserdi;7683
Cserénfa;7472
Cserépfalu;3413
Cserépváralja;3417
Cserháthaláp;2694
Cserhátsurány;2676
Cserhátszentiván;3066
Cserkeszőlő;5465
Cserkút;7673
Csernely;3648
Cserszegtomaj;8372
Csertalakos;8951
Csertő;7900
Csesznek;8419
Csesztreg;8973
Csesztve;2678
Csetény;8417
Csévharaszt;2212
Csibrák;7225
Csikéria;6424
Csikóstőttős;7341
Csikvánd;9127
Csincse;3442
Csipkerek;9836
Csitár;2673
Csobád;3848
Csobaj;3927
Csobánka;2014
Csókakő;8074
Csokonyavisonta;7555
Csokvaomány;3647
Csolnok;2521
Csólyospálos;6135
Csoma;7253
Csomád;2161
Csombárd;7432
Csongrád;6648
Csongrád;6640
Csonkahegyhát;8918
Csonkamindszent;7940
Csopak;8229
Csór;8041
Csorna;9300
Csorna;9168
Csorvás;5920
Csót;8558
Csöde;8999
Csögle;8495
Csökmő;4145
Csököly;7526
Csömend;8700
Csömödér;8957
Csömör;2141
Csönge;9513
Csörnyeföld;8873
Csörög;2135
Csörötnek;9962
Csősz;8122
Csővár;2615
Csurgó;8840
Csurgónagymarton;8840
Dabas;2370
Dabas;2371
Dabas;2373
Dabronc;8345
Dabrony;8485
Dad;2854
Dág;2522
Dáka;8592
Dalmand;7211
Damak;3780
Dámóc;3978
Dánszentmiklós;2735
Dány;2118
Daraboshegy;9917
Darány;7988
Darnó;4737
Darnózseli;9232
Daruszentmiklós;2423
Darvas;4144
Dávod;6524
Debercsény;2694
Debrecen;4042
Debrecen;4033
Debrecen;4027
Debrecen;4028
Debrecen;4030
Debrecen;4000
Debrecen;4029
Debrecen;4225
Debrecen;4025
Debrecen;4026
Debrecen;4063
Debrecen;4034
Debrecen;4079
Debrecen;4078
Debrecen;4032
Debrecen;4031
Debrecen;4024
Debrecen;4002
Debréte;3825
Decs;7144
Dédestapolcsány;3643
Dég;8135
Dejtár;2649
Délegyháza;2337
Demecser;4516
Demjén;3395
Dencsháza;7915
Dénesfa;9365
Derecske;4130
Derekegyház;6621
Deszk;6772
Detek;3834
Detk;3275
Dévaványa;5510
Devecser;8460
Dinnyeberki;7683
Diósberény;7072
Diósd;2049
Diósjenő;2643
Dióskál;8764
Diósviszló;7817
Doba;8482
Doboz;5624
Dobri;8874
Dobronhegy;8989
Dóc;6766
Domaháza;3627
Domaszék;6781
Dombegyház;5836
Dombiratos;5745
Dombóvár;7200
Dombrád;4492
Domony;2182
Domoszló;3263
Dormánd;3374
Dorog;2510
Dorogháza;3153
Dozmat;9791
Döbörhegy;9914
Döbröce;8357
Döbrököz;7228
Döbrönte;8597
Döge;4495
Dömös;2027
Dömsöd;2344
Dör;9147
Dörgicse;8244
Döröske;9913
Dötk;8799
Dövény;3721
Drágszél;6342
Drávacsehi;7849
Drávacsepely;7846
Drávafok;7967
Drávagárdony;7977
Drávaiványi;7960
Drávakeresztúr;7967
Drávapalkonya;7850
Drávapiski;7843
Drávaszabolcs;7851
Drávaszerdahely;7847
Drávasztára;7960
Drávatamási;7979
Drégelypalánk;2646
Dubicsány;3635
Dudar;8416
Duka;9556
Dunaalmás;2545
Dunabogdány;2023
Dunaegyháza;6323
Dunafalva;6513
Dunaföldvár;7020
Dunaharaszti;2330
Dunakeszi;2120
Dunakiliti;9225
Dunapataj;6328
Dunaremete;9235
Dunaszeg;9174
Dunaszekcső;7712
Dunaszentbenedek;6333
Dunaszentgyörgy;7135
Dunaszentmiklós;2897
Dunaszentpál;9175
Dunasziget;9226
Dunatetétlen;6325
Dunaújváros;2400
Dunaújváros;2407
Dunavarsány;2336
Dunavecse;6087
Dusnok;6353
Dúzs;7224
Ebergőc;9451
Ebes;4211
Écs;9083
Ecséd;3013
Ecseg;3053
Ecsegfalva;5515
Ecseny;7457
Ecser;2233
Edde;7443
Edelény;3783
Edelény;3780
Edve;9343
Eger;3300
Eger;3304
Egerág;7763
Egeralja;8497
Egeraracsa;8765
Egerbakta;3321
Egerbocs;3337
Egercsehi;3341
Egerfarmos;3379
Egerlövő;3461
Egerszalók;3394
Egerszólát;3328
Égerszög;3757
Egervár;8913
Egervölgy;9684
Egyed;9314
Egyek;4069
Egyek;4067
Egyházasdengeleg;3043
Egyházasfalu;9473
Egyházasgerge;3185
Egyházasharaszti;7824
Egyházashetye;9554
Egyházashollós;9781
Egyházaskesző;8523
Egyházaskozár;7347
Egyházasrádóc;9783
Elek;5742
Ellend;7744
Előszállás;2424
Emőd;3432
Encs;3860
Encsencs;4374
Endrefalva;3165
Endrőc;7973
Enese;9143
Enying;8130
Enying;8131
Eperjes;6624
Eperjeske;4646
Eplény;8413
Epöl;2526
Ercsi;2451
Ercsi;2453
Érd;2030
Erdőbénye;3932
Erdőhorváti;3935
Erdőkertes;2113
Erdőkövesd;3252
Erdőkürt;2176
Erdősmárok;7735
Erdősmecske;7723
Erdőtarcsa;2177
Erdőtelek;3358
Erk;3295
Érpatak;4245
Érsekcsanád;6347
Érsekhalma;6348
Érsekvadkert;2659
Értény;7093
Erzsébet;7661
Esztár;4124
Eszteregnye;8882
Esztergályhorváti;8742
Esztergom;2500
Esztergom;2508
Esztergom;2509
Ete;2947
Etes;3136
Etyek;2091
Fábiánháza;4354
Fábiánsebestyén;6625
Fácánkert;7136
Fadd;7133
Fáj;3865
Fajsz;6352
Fancsal;3855
Farád;9321
Farkasgyepű;8582
Farkaslyuk;3608
Farmos;2765
Fazekasboda;7732
Fedémes;3255
Fegyvernek;5213
Fegyvernek;5231
Fehérgyarmat;4900
Fehértó;9163
Fehérvárcsurgó;8052
Feked;7724
Feketeerdő;9211
Felcsút;8086
Feldebrő;3352
Felgyő;6645
Felpéc;9122
Felsőberecki;3985
Felsőcsatár;9794
Felsődobsza;3847
Felsőegerszeg;7370
Felsőgagy;3837
Felsőjánosfa;9934
Felsőkelecsény;3722
Felsőlajos;6055
Felsőmarác;9918
Felsőmocsolád;7456
Felsőnána;7175
Felsőnyárád;3721
Felsőnyék;7099
Felsőörs;8227
Felsőpáhok;8395
Felsőpakony;2363
Felsőpetény;2611
Felsőrajk;8767
Felsőregmec;3989
Felsőszenterzsébet;8973
Felsőszentiván;6447
Felsőszentmárton;7968
Felsőszölnök;9985
Felsőtárkány;3324
Felsőtelekes;3735
Felsőtold;3067
Felsővadász;3814
Felsőzsolca;3561
Fényeslitke;4621
Fenyőfő;8432
Ferencszállás;6774
Fertőboz;9493
Fertőd;9431
Fertőd;9433
Fertőendréd;9442
Fertőhomok;9492
Fertőrákos;9421
Fertőszentmiklós;9444
Fertőszéplak;9436
Fiad;7282
Filkeháza;3994
Fityeház;8835
Foktő;6331
Folyás;4095
Fonó;7271
Fony;3893
Fonyód;8640
Forráskút;6793
Forró;3849
Fót;2151
Földeák;6922
Földes;4177
Főnyed;8732
Fulókércs;3864
Furta;4141
Füle;8157
Fülesd;4964
Fülöp;4266
Fülöpháza;6042
Fülöpjakab;6116
Fülöpszállás;6085
Fülpösdaróc;4754
Fürged;7087
Füzér;3996
Füzérkajata;3994
Füzérkomlós;3997
Füzérradvány;3993
Füzesabony;3390
Füzesgyarmat;5525
Fűzvölgy;8777
Gáborján;4122
Gáborjánháza;8969
Gacsály;4972
Gadács;7276
Gadány;8715
Gadna;3815
Gádoros;5932
Gagyapáti;3837
Gagybátor;3817
Gagyvendégi;3816
Galambok;8754
Galgaguta;2686
Galgagyörk;2681
Galgahévíz;2193
Galgamácsa;2183
Gálosfa;7473
Galvács;3752
Gamás;8685
Ganna;8597
Gánt;8082
Gara;6522
Garáb;3067
Garabonc;8747
Garadna;3873
Garbolc;4976
Gárdony;2483
Gárdony;2484
Gárdony;2485
Garé;7812
Gasztony;9952
Gátér;6111
Gávavencsellő;4471
Gávavencsellő;4472
Géberjén;4754
Gecse;8543
Géderlak;6334
Gégény;4517
Gelej;3444
Gelénes;4935
Gellénháza;8981
Gelse;8774
Gelsesziget;8774
Gemzse;4567
Gencsapáti;9721
Gérce;9672
Gerde;7951
Gerendás;5925
Gerényes;7362
Geresdlak;7733
Gerjen;7134
Gersekarát;9813
Geszt;5734
Gesztely;3923
Gesztely;3715
Geszteréd;4232
Gétye;8762
Gibárt;3854
Gic;8435
Gige;7527
Gilvánfa;7954
Girincs;3578
Gógánfa;8346
Golop;3906
Gomba;2217
Gombosszeg;8984
Gór;9625
Gordisa;7853
Gosztola;8960
Göd;2131
Göd;2132
Gödöllő;2100
Gödre;7385
Gödre;7386
Gölle;7272
Gömörszőlős;3728
Gönc;3895
Göncruszka;3894
Gönyű;9071
Görbeháza;4075
Görcsöny;7833
Görcsönydoboka;7728
Görgeteg;7553
Gősfa;8913
Grábóc;7162
Gulács;4842
Gutorfölde;8951
Gyál;2360
Gyalóka;9474
Gyanógeregye;9774
Gyarmat;9126
Gyékényes;8851
Gyenesdiás;8315
Gyepükaján;8473
Gyermely;2821
Gyód;7668
Gyomaendrőd;5500
Gyomaendrőd;5502
Gyóró;9363
Gyömöre;9124
Gyömrő;2230
Gyöngyfa;7954
Gyöngyös;3200
Gyöngyös;3221
Gyöngyös;3232
Gyöngyös;3233
Gyöngyösfalu;9723
Gyöngyöshalász;3212
Gyöngyösmellék;7972
Gyöngyösoroszi;3211
Gyöngyöspata;3035
Gyöngyössolymos;3231
Gyöngyöstarján;3036
Gyönk;7064
Győr;9023
Győr;9022
Győr;9012
Győr;9025
Győr;9026
Győr;9011
Győr;9024
Győr;9027
Győr;9000
Győr;9030
Győr;9029
Győr;9028
Győr;9021
Győr;9019
Győrasszonyfa;9093
Györe;7352
Györgytarló;3954
Györköny;7045
Győrladamér;9173
Győröcske;4625
Győrság;9084
Győrsövényház;9161
Győrszemere;9121
Győrtelek;4752
Győrújbarát;9081
Győrújfalu;9171
Győrvár;9821
Győrzámoly;9172
Gyugy;8692
Gyula;5711
Gyula;5700
Gyulaháza;4545
Gyulaj;7227
Gyulakeszi;8286
Gyúró;2464
Gyügye;4733
Gyüre;4813
Gyűrűs;8932
Hács;8694
Hagyárosbörönd;8992
Hahót;8771
Hajdúbagos;4273
Hajdúböszörmény;4220
Hajdúböszörmény;4086
Hajdúböszörmény;4074
Hajdúböszörmény;4224
Hajdúdorog;4087
Hajdúhadház;4242
Hajdúnánás;4085
Hajdúnánás;4080
Hajdúsámson;4251
Hajdúszoboszló;4200
Hajdúszovát;4212
Hajmás;7473
Hajmáskér;8192
Hajós;6344
Halastó;9814
Halászi;9228
Halásztelek;2314
Halimba;8452
Halmaj;3842
Halmajugra;3273
Halogy;9917
Hangács;3795
Hangony;3626
Hantos;2434
Harasztifalu;9784
Harc;7172
Harka;9422
Harkakötöny;6136
Harkány;7815
Háromfa;7585
Háromhuta;3936
Harsány;3555
Hárskút;8442
Harta;6326
Harta;6327
Hásságy;7745
Hatvan;3000
Hédervár;9178
Hedrehely;7533
Hegyesd;8296
Hegyeshalom;9222
Hegyfalu;9631
Hegyháthodász;9915
Hegyhátmaróc;7348
Hegyhátsál;9915
Hegyhátszentjakab;9934
Hegyhátszentmárton;9931
Hegyhátszentpéter;9821
Hegykő;9437
Hegymagas;8265
Hegymeg;3786
Hegyszentmárton;7837
Héhalom;3041
Hejce;3892
Hejőbába;3593
Hejőkeresztúr;3597
Hejőkürt;3588
Hejőpapi;3594
Hejőszalonta;3595
Helesfa;7683
Helvécia;6034
Hencida;4123
Hencse;7532
Herceghalom;2053
Hercegkút;3958
Hercegszántó;6525
Heréd;3011
Héreg;2832
Herencsény;2677
Herend;8440
Heresznye;7587
Hermánszeg;4735
Hernád;2376
Hernádbűd;3853
Hernádcéce;3887
Hernádkak;3563
Hernádkércs;3846
Hernádnémeti;3564
Hernádpetri;3874
Hernádszentandrás;3852
Hernádszurdok;3875
Hernádvécse;3874
Hernyék;8957
Hét;3655
Hetefejércse;4843
Hetes;7432
Hetvehely;7681
Hetyefő;8344
Heves;3360
Hevesaranyos;3322
Hevesvezekény;3383
Hévíz;8380
Hévízgyörk;2192
Hidas;7696
Hidasnémeti;3876
Hidegkút;8247
Hidegség;9491
Hidvégardó;3768
Himesháza;7735
Himod;9362
Hirics;7838
Hobol;7971
Hodász;4334
Hódmezővásárhely;6800
Hódmezővásárhely;6805
Hódmezővásárhely;6806
Hollád;8731
Hollóháza;3999
Hollókő;3176
Homokbödöge;8563
Homokkomárom;8777
Homokmégy;6341
Homokszentgyörgy;7537
Homorúd;7716
Homrogd;3812
Hont;2647
Horpács;2658
Hort;3014
Hortobágy;4071
Horváthertelend;7935
Horvátlövő;9796
Horvátzsidány;9733
Hosszúhetény;7694
Hosszúpályi;4274
Hosszúpereszteg;9676
Hosszúvíz;8716
Hosszúvölgy;8777
Hosztót;8475
Hottó;8991
Hőgyész;7191
Hövej;9361
Hugyag;2672
Hunya;5555
Hunyadfalva;5063
Husztót;7678
Ibafa;7935
Iborfia;8984
Ibrány;4484
Igal;7275
Igar;7016
Igar;7015
Igrici;3459
Iharos;8726
Iharosberény;8725
Ikervár;9756
Iklad;2181
Iklanberény;9634
Iklódbördőce;8958
Ikrény;9141
Iliny;2674
Ilk;4566
Illocska;7775
Imola;3725
Imrehegy;6238
Ináncs;3851
Inárcs;2365
Inke;8724
Ipacsfa;7847
