Helység.megnevezése;IRSZ
Sásd;7370
Sáska;8308
Sáta;3659
Sátoraljaújhely;3944
Sátoraljaújhely;3945
Sátoraljaújhely;3980
Sátoraljaújhely;3988
Sátorhely;7785
Sávoly;8732
Sé;9789
Segesd;7562
Selyeb;3809
Sellye;7960
Semjén;3974
Semjénháza;8862
Sénye;8788
Sényő;4533
Seregélyes;8111
Serényfalva;3729
Sérsekszőlős;8660
Sikátor;8439
Siklós;7800
Siklósbodony;7814
Siklósnagyfalu;7823
Sima;3881
Simaság;9633
Simonfa;7474
Simontornya;7081
Sióagárd;7171
Siófok;8600
Siójut;8652
Sirok;3332
Sitke;9671
Sobor;9315
Sokorópátka;9112
Solt;6320
Soltszentimre;6223
Soltvadkert;6230
Sóly;8193
Solymár;2083
Som;8655
Somberek;7728
Somlójenő;8478
Somlószőlős;8483
Somlóvásárhely;8481
Somlóvecse;8484
Somodor;7454
Somogyacsa;7283
Somogyapáti;7922
Somogyaracs;7584
Somogyaszaló;7452
Somogybabod;8684
Somogybükkösd;8858
Somogycsicsó;8726
Somogydöröcske;7284
Somogyegres;8666
Somogyfajsz;8708
Somogygeszti;7455
Somogyhárságy;7925
Somogyhatvan;7921
Somogyjád;7443
Somogymeggyes;8673
Somogysámson;8733
Somogysárd;7435
Somogysimonyi;8737
Somogyszentpál;8705
Somogyszil;7276
Somogyszob;7563
Somogytúr;8683
Somogyudvarhely;7515
Somogyvámos;8699
Somogyvár;8698
Somogyviszló;7924
Somogyzsitfa;8734
Somoskőújfalu;3121
Sonkád;4954
Soponya;8123
Sopron;9400
Sopron;9407
Sopron;9494
Sopron;9408
Sopronhorpács;9463
Sopronkövesd;9483
Sopronnémeti;9325
Sorkifalud;9774
Sorkikápolna;9774
Sormás;8881
Sorokpolány;9773
Sóshartyán;3131
Sóskút;2038
Sóstófalva;3716
Sósvertike;7960
Sótony;9681
Söjtör;8897
Söpte;9743
Söréd;8072
Sukoró;8096
Sumony;7960
Súr;2889
Surd;8856
Sükösd;6346
Sülysáp;2241
Sümeg;8330
Sümegcsehi;8357
Sümegprága;8351
Süttő;2543
Szabadbattyán;8151
Szabadegyháza;2432
Szabadhídvég;8139
Szabadhídvég;8138
Szabadi;7253
Szabadkígyós;5712
Szabadszállás;6080
Szabadszentkirály;7951
Szabás;7544
Szabolcs;4467
Szabolcsbáka;4547
Szabolcsveresmart;4496
Szada;2111
Szágy;7383
Szajk;7753
Szajla;3334
Szajol;5081
Szakácsi;3786
Szakadát;7071
Szakáld;3596
Szakály;7192
Szakcs;7213
Szakmár;6336
Szaknyér;9934
Szakoly;4234
Szakony;9474
Szakonyfalu;9983
Szákszend;2856
Szalafő;9942
Szalánta;7811
Szalapa;8341
Szalaszend;3863
Szalatnak;7334
Szálka;7121
Szalkszentmárton;6086
Szalmatercs;3163
Szalonna;3754
Szamosangyalos;4767
Szamosbecs;4745
Szamoskér;4721
Szamossályi;4735
Szamostatárfalva;4746
Szamosújlak;4734
Szamosszeg;4824
Szanda;2697
Szank;6131
Szántód;8622
Szany;9317
Szápár;8423
Szaporca;7843
Szár;2066
Szárász;7188
Szárazd;7063
Szárföld;9353
Szárliget;2067
Szarvas;5540
Szarvasgede;3051
Szarvaskend;9913
Szarvaskő;3323
Szászberek;5053
Szászfa;3821
Szászvár;7349
Szatmárcseke;4945
Szátok;2656
Szatta;9938
Szatymaz;6763
Szava;7813
Százhalombatta;2440
Szebény;7725
Szécsénke;2692
Szécsény;3170
Szécsényfelfalu;3135
Szécsisziget;8879
Szederkény;7751
Szedres;7056
Szeged;6728
Szeged;6726
Szeged;6700
Szeged;6753
Szeged;6727
Szeged;6724
Szeged;6791
Szeged;6729
Szeged;6722
Szeged;6723
Szeged;6710
Szeged;6725
Szeged;6757
Szeged;6720
Szeged;6771
Szeged;6721
Szegerdő;8732
Szeghalom;5520
Szegi;3918
Szegilong;3918
Szegvár;6635
Székely;4534
Székelyszabar;7737
Székesfehérvár;8019
Székesfehérvár;8000
Székkutas;6821
Szekszárd;7100
Szeleste;9622
Szelevény;5476
Szellő;7661
Szemely;7763
Szemenye;9685
Szemere;3866
Szendehely;2640
Szendrő;3752
Szendrőlád;3751
Szenna;7477
Szenta;8849
Szentantalfa;8272
Szentbalázs;7472
Szentbékkálla;8281
Szentborbás;7918
Szentdénes;7913
Szentdomonkos;3259
Szente;2655
Szentegát;7915
Szentendre;2000
Szentes;6600
Szentgál;8444
Szentgáloskér;7465
Szentgotthárd;9981
Szentgotthárd;9970
Szentgotthárd;9955
Szentgyörgyvár;8393
Szentgyörgyvölgy;8975
Szentimrefalva;8475
Szentistván;3418
Szentistvánbaksa;3844
Szentjakabfa;8272
Szentkatalin;7681
Szentkirály;6031
Szentkirályszabadja;8225
Szentkozmadombja;8947
Szentlászló;7936
Szentliszló;8893
Szentlőrinc;7940
Szentlőrinckáta;2255
Szentmargitfalva;8872
Szentmártonkáta;2254
Szentpéterfa;9799
Szentpéterfölde;8953
Szentpéterszeg;4121
Szentpéterúr;8762
Szenyér;8717
Szepetnek;8861
Szerecseny;9125
Szeremle;6512
Szerencs;3900
Szerencs;3902
Szerep;4162
Szerep;4163
Szergény;9523
Szigetbecse;2321
Szigetcsép;2317
Szigethalom;2315
Szigetmonostor;2015
Szigetszentmárton;2318
Szigetszentmiklós;2310
Szigetújfalu;2319
Szigetvár;7900
Szigliget;8264
Szihalom;3377
Szijártóháza;8969
Szikszó;3800
Szil;9326
Szilágy;7664
Szilaspogony;3125
Szilsárkány;9312
Szilvágy;8986
Szilvás;7811
Szilvásvárad;3348
Szilvásszentmárton;7477
Szin;3761
Szinpetri;3761
Szirák;3044
Szirmabesenyő;3711
Szob;2628
Szokolya;2624
Szólád;8625
Szolnok;5008
Szolnok;5000
Szombathely;9700
Szombathely;9707
Szomód;2896
Szomolya;3411
Szomor;2822
Szorgalmatos;4441
Szorosad;7285
Szőc;8452
Szőce;9935
Sződ;2134
Sződliget;2133
Szögliget;3762
Szőke;7833
Szőkéd;7763
Szőkedencs;8736
Szőlősardó;3757
Szőlősgyörök;8692
Szörény;7976
Szúcs;3341
Szuha;3154
Szuhafő;3726
Szuhakálló;3731
Szuhogy;3734
Szulimán;7932
Szulok;7539
Szurdokpüspöki;3064
Szűcsi;3034
Szügy;2699
Szűr;7735
Tab;8660
Tabajd;8088
Tabdi;6224
Táborfalva;2381
Tác;8121
Tagyon;8272
Tahitótfalu;2021
Tahitótfalu;2022
Takácsi;8541
Tákos;4845
Taksony;2335
Taktabáj;3926
Taktaharkány;3922
Taktakenéz;3924
Taktaszada;3921
Taliándörögd;8295
Tállya;3907
Tamási;7090
Tanakajd;9762
Táp;9095
Tápióbicske;2764
Tápiógyörgye;2767
Tápióság;2253
Tápiószecső;2251
Tápiószele;2766
Tápiószentmárton;2711
Tápiószőlős;2769
Táplánszentkereszt;9761
Tapolca;8300
Tapolca;8297
Tapsony;8718
Tápszentmiklós;9094
Tar;3073
Tarany;7514
Tarcal;3915
Tard;3416
Tardona;3644
Tardos;2834
Tarhos;5641
Tarján;2831
Tarjánpuszta;9092
Tárkány;2943
Tárkány;2945
Tarnabod;3369
Tarnalelesz;3258
Tarnaméra;3284
Tarnaörs;3294
Tarnaszentmária;3331
Tarnaszentmiklós;3382
Tarnazsadány;3283
Tárnok;2461
Tárnokréti;9165
Tarpa;4931
Tarrós;7362
Táska;8696
Tass;6098
Taszár;7261
Tát;2534
Tata;2835
Tata;2890
Tatabánya;2800
Tataháza;6451
Tatárszentgyörgy;2375
Tázlár;6236
Téglás;4243
Tekenye;8793
Tékes;7381
Teklafalu;7973
Telekes;9812
Telekgerendás;5675
Teleki;8626
Telki;2089
Telkibánya;3896
Tengelic;7054
Tengeri;7834
Tengőd;8668
Tenk;3359
Tényő;9111
Tépe;4132
Terem;4342
Terény;2696
Tereske;2652
Teresztenye;3757
Terpes;3333
Tés;8109
Tésa;2636
Tésenfa;7843
Téseny;7834
Teskánd;8991
Tét;9100
Tetétlen;4184
Tevel;7181
Tibolddaróc;3423
Tiborszállás;4353
Tihany;8237
Tikos;8731
Tilaj;8782
Timár;4466
Tinnye;2086
Tiszaadony;4833
Tiszaalpár;6066
Tiszaalpár;6067
Tiszabábolna;3465
Tiszabecs;4951
Tiszabercel;4474
Tiszabezdéd;4624
Tiszabő;5232
Tiszabura;5235
Tiszacsécse;4947
Tiszacsege;4066
Tiszacsermely;3972
Tiszadada;4455
Tiszaderzs;5243
Tiszadob;4456
Tiszadorogma;3466
Tiszaeszlár;4446
Tiszaeszlár;4464
Tiszaföldvár;5430
Tiszaföldvár;5461
Tiszafüred;5358
Tiszafüred;5359
Tiszafüred;5350
Tiszagyenda;5233
Tiszagyulaháza;4097
Tiszaigar;5361
Tiszainoka;5464
Tiszajenő;5094
Tiszakanyár;4493
Tiszakarád;3971
Tiszakécske;6060
Tiszakécske;6062
Tiszakerecseny;4834
Tiszakeszi;3458
Tiszakóród;4946
Tiszakürt;5471
Tiszaladány;3929
Tiszalök;4447
Tiszalök;4450
Tiszalúc;3565
Tiszamogyorós;4645
Tiszanagyfalu;4463
Tiszanána;3385
Tiszaörs;5362
Tiszapalkonya;3587
Tiszapüspöki;5211
Tiszarád;4503
Tiszaroff;5234
Tiszasas;5474
Tiszasüly;5061
Tiszaszalka;4831
Tiszaszentimre;5322
Tiszaszentimre;5323
Tiszaszentmárton;4628
Tiszasziget;6756
Tiszaszőlős;5244
Tiszatardos;3928
Tiszatarján;3589
Tiszatelek;4486
Tiszatelek;4487
Tiszatenyő;5082
Tiszaug;6064
Tiszaújváros;3580
Tiszavalk;3464
Tiszavárkony;5095
Tiszavárkony;5092
Tiszavasvári;4440
Tiszavid;4832
Tisztaberek;4969
Tivadar;4921
Tóalmás;2252
Tófalu;3354
Tófej;8946
Tófű;7348
Tokaj;3910
Tokod;2531
Tokodaltáró;2532
Tokorcs;9561
Tolcsva;3934
Told;4117
Tolmács;2657
Tolna;7131
Tolna;7130
Tolnanémedi;7083
Tomajmonostora;5324
Tomor;3787
Tompa;6422
Tompaládony;9662
Tordas;2463
Tormafölde;8876
Tormás;7383
Tormásliget;9736
Tornabarakony;3765
Tornakápolna;3761
Tornanádaska;3767
Tornaszentandrás;3765
Tornaszentjakab;3769
Tornyiszentmiklós;8877
Tornyosnémeti;3877
Tornyospálca;4642
Torony;9791
Torvaj;8660
Tószeg;5091
Tótkomlós;5940
Tótszentgyörgy;7981
Tótszentmárton;8865
Tótszerdahely;8864
Tótújfalu;7918
Tótvázsony;8246
Tök;2073
Tököl;2316
Töltéstava;9086
Tömörd;9738
Tömörkény;6646
Törökbálint;2045
Törökkoppány;7285
Törökszentmiklós;5200
Törökszentmiklós;5212
Törtel;2747
Töttös;7755
Trizs;3724
Tunyogmatolcs;4731
Tura;2194
Túristvándi;4944
Túrkeve;5420
Túrony;7811
Túrricse;4968
Tuzsér;4623
Türje;8796
Tüskevár;8477
Tyukod;4762
Udvar;7718
Udvari;7066
Ugod;8564
Újbarok;2066
Újcsanálos;3716
Újdombrád;4491
Újfehértó;4244
Újhartyán;2367
Újiráz;4146
Újireg;7095
Újkenéz;4635
Újkér;9472
Újkígyós;5661
Újlengyel;2724
Újléta;4288
Újlőrincfalva;3387
Újpetre;7766
Újrónafő;9244
Újsolt;6321
Újszalonta;5727
Újszász;5052
Újszentiván;6754
Újszentmargita;4065
Újszilvás;2768
Újtelek;6337
Újtikos;4096
Újudvar;8778
Újvárfalva;7436
Ukk;8347
Und;9464
Úny;2528
Uppony;3622
Ura;4763
Uraiújfalu;9651
Úrhida;8142
Úri;2244
Úrkút;8409
Uszka;4952
Uszód;6332
Uzsa;8321
Üllés;6794
Üllő;2225
Üröm;2096
Vác;2600
Vácduka;2167
Vácegres;2184
Váchartyán;2164
Váckisújfalu;2185
Vácrátót;2163
Vácszentlászló;2115
Vadna;3636
Vadosfa;9346
Vág;9327
Vágáshuta;3992
Vaja;4562
Vajdácska;3961
Vajszló;7838
Vajta;7041
Vál;2473
Valkó;2114
Valkonya;8885
Vállaj;4351
Vállus;8316
Vámosatya;4936
Vámoscsalád;9665
Vámosgyörk;3291
Vámosmikola;2635
Vámosoroszi;4966
Vámospércs;4287
Vámosújfalu;3941
Vámosszabadi;9061
Vámosszabadi;9064
Váncsod;4119
Vanyarc;2688
Vanyola;8552
Várad;7973
Váralja;7354
Varászló;8723
Váraszó;3254
Várbalog;9243
Varbó;3778
Varbóc;3756
Várda;7442
Várdomb;7146
Várfölde;8891
Varga;7370
Várgesztes;2824
Várkesző;8523
Várong;7214
Városföld;6033
Városlőd;8445
Várpalota;8100
Varsád;7067
Varsány;3178
Várvölgy;8316
Vasad;2211
Vasalja;9921
Vásárosbéc;7926
Vásárosdombó;7362
Vásárosfalu;9343
Vásárosmiske;9552
Vásárosnamény;4804
Vásárosnamény;4800
Vásárosnamény;4803
Vasasszonyfa;9744
Vasboldogasszony;8914
Vasegerszeg;9661
Vashosszúfalu;9674
Vaskeresztes;9795
Vaskút;6521
Vasmegyer;4502
Vaspör;8998
Vassurány;9741
Vasvár;9800
Vaszar;8542
Vászoly;8245
Vasszécseny;9763
Vasszentmihály;9953
Vasszilvágy;9747
Vát;9748
Vatta;3431
Vázsnok;7370
Vécs;3265
Vecsés;2220
Végegyháza;5811
Vejti;7838
Vékény;7333
Vekerd;4143
Velem;9726
Velemér;9946
Velence;2481
Velény;7951
Véménd;7726
Vének;9062
Vép;9751
Vereb;2477
Veresegyház;2112
Verőce;2621
Verpelét;3351
Verseg;2174
Versend;7752
Vértesacsa;8089
Vértesboglár;8085
Vérteskethely;2859
Vértessomló;2823
Vértestolna;2833
Vértesszőlős;2837
Vése;8721
Veszkény;9352
Veszprém;8200
Veszprém;8412
Veszprém;8411
Veszprémfajsz;8248
Veszprémgalsa;8475
Veszprémvarsány;8438
Vésztő;5530
Vezseny;5093
Vid;8484
Vigántpetend;8294
Villány;7773
Villánykövesd;7772
Vilmány;3891
Vilonya;8194
Vilyvitány;3991
Vinár;9534
Vindornyafok;8354
Vindornyalak;8353
Vindornyaszőlős;8355
Visegrád;2025
Visegrád;2026
Visnye;7533
Visonta;3271
Visonta;3272
Viss;3956
Visz;8681
Viszák;9932
Viszló;3825
Visznek;3293
Vitnyéd;9371
Vízvár;7588
Vizslás;3128
Vizsoly;3888
Vokány;7768
Vonyarcvashegy;8314
Vöckönd;8931
Völcsej;9462
Vönöck;9516
Vöröstó;8291
Vörs;8711
Zabar;3124
Zádor;7976
Zádorfalva;3726
Zagyvarékas;5051
Zagyvaszántó;3031
Záhony;4625
Zajk;8868
Zajta;4974
Zákány;8852
Zákányfalu;8853
Zákányszék;6787
Zala;8660
Zalaapáti;8741
Zalabaksa;8971
Zalabér;8798
Zalaboldogfa;8992
Zalacsány;8782
Zalacséb;8996
Zalaegerszeg;8900
Zalaegerszeg;8904
Zalaerdőd;8344
Zalagyömörő;8349
Zalahaláp;8308
Zalaháshágy;8997
Zalaigrice;8761
Zalaistvánd;8932
Zalakaros;8749
Zalakomár;8751
Zalakomár;8752
Zalaköveskút;8354
Zalalövő;8999
Zalameggyes;8348
Zalamerenye;8747
Zalasárszeg;8756
Zalaszabar;8743
Zalaszántó;8353
Zalaszegvár;8476
Zalaszentbalázs;8772
Zalaszentgrót;8785
Zalaszentgrót;8795
Zalaszentgrót;8789
Zalaszentgrót;8790
Zalaszentgyörgy;8994
Zalaszentiván;8921
Zalaszentjakab;8827
Zalaszentlászló;8788
Zalaszentlőrinc;8921
Zalaszentmárton;8764
Zalaszentmihály;8936
Zalaszombatfa;8969
Zaláta;7839
Zalatárnok;8947
Zalaújlak;8822
Zalavár;8392
Zalavég;8792
Zalkod;3957
Zamárdi;8621
Zámoly;8081
Zánka;8251
Zaránk;3296
Závod;7182
Zebecke;8957
Zebegény;2627
Zemplénagárd;3977
Zengővárkony;7720
Zichyújfalu;8112
Zics;8672
Ziliz;3794
Zimány;7471
Zirc;8420
Zók;7671
Zomba;7173
Zubogy;3723
Zsadány;5537
Zsáka;4142
Zsámbék;2072
Zsámbok;2116
Zsana;6411
Zsarolyán;4961
Zsebeháza;9346
Zsédeny;9635
Zselickisfalud;7477
Zselickislak;7400
Zselicszentpál;7474
Zsennye;9766
Zsira;9476
Zsombó;6792
Zsujta;3897
Zsurk;4627
